manufacturer,type,model,option,disp,hp,city_mpg,high_mpg,price,fuel,weight,class,origin
르노삼성,중형,SM6,2.0 가솔린,1998,140,10.2,13.1,2268,가솔린,1420,세단,kor
르노삼성,중형,SM6,2.0 가솔린 GDe,1997,150,10.7,14.7,2405,가솔린,1405,세단,kor
르노삼성,중형,SM6,1.6 가솔린 터보,1618,190,11,14.1,2960,가솔린,1435,세단,kor
쉐보레,중형,말리부 하이브리드,1.8 HEV,1796,124,17.3,16.8,3509,하이브리드,1530,세단,kor
현대자동차,중형,쏘나타 하이브리드,2.0 HEV,1999,195,20,20.1,2754,하이브리드,1495,세단,kor
기아자동차,준대형,K7 하이브리드,2.4 HEV,2359,159,16.1,16.2,3622,하이브리드,1675,세단,kor
기아자동차,준대형,K7,3.0 Lpi,2999,235,6.6,9.3,3094,LPG,1635,세단,kor
기아자동차,준대형,K7,2.5 가솔린,2497,198,10.3,14.5,3102,가솔린,1565,세단,kor
기아자동차,준대형,K7,2.2 디젤,2199,202,13,17,3367,디젤,1705,세단,kor
기아자동차,준대형,K7,3.0 가솔린,2999,266,8.7,12.2,3593,가솔린,1645,세단,kor
기아자동차,중형,스팅어,2.0 가솔린 터보,1998,255,9.2,12.2,3524,가솔린,1650,세단,kor
기아자동차,중형,스팅어,2.2 디젤,2199,202,13,16,3740,디젤,1730,세단,kor
기아자동차,중형,스팅어,2.0 가솔린 터보 AWD,1998,255,8.3,11.4,3769,가솔린,1715,세단,kor
기아자동차,중형,스팅어,2.2 디젤 AWD,2199,202,11.9,15.5,3985,디젤,1800,세단,kor
현대자동차,준중형,아반떼,1.6 가솔린,1598,123,12.8,16.8,1411,가솔린,1230,세단,kor
현대자동차,준중형,아반떼,1.6 LPi,1591,120,9.3,12.6,1698,LPG,1270,세단,kor
현대자동차,준중형,아반떼,1.6 LPi(장애인용),1591,120,9.3,12.6,2003,LPG,1270,세단,kor
기아자동차,대형,K9,3.8 가솔린,3778,315,7.8,11,5419,가솔린,1915,세단,kor
기아자동차,대형,K9,3.8 가솔린 AWD,3778,315,7.3,10.3,5664,가솔린,1985,세단,kor
기아자동차,대형,K9,3.3 가솔린 터보,3342,370,7.4,10.9,6558,가솔린,2015,세단,kor
기아자동차,대형,K9,3.3 가솔린 터보 AWD,3342,370,7,10.1,6803,가솔린,2085,세단,kor
기아자동차,대형,K9,5.0 가솔린,5038,425,6.4,9.5,9179,가솔린,2165,세단,kor
기아자동차,중형,K5 하이브리드,2.0 HEV,1999,156,16.8,17.7,2848,하이브리드,1580,세단,kor
기아자동차,중형,K5,2.0 LPi,1999,151,8.3,11.3,2225,LPG,1455,세단,kor
기아자동차,중형,K5,2.0 가솔린,1999,163,10.2,13.8,2228,가솔린,1455,세단,kor
기아자동차,중형,K5,1.6 가솔린 터보,1591,180,11.1,14.3,2489,가솔린,1460,세단,kor
기아자동차,중형,K5,1.7 디젤,1685,141,14.5,17.2,2547,디젤,1510,세단,kor
현대자동차,중형,쏘나타,2.0 가솔린,1999,160,11.9,15.5,2346,가솔린,1405,세단,kor
현대자동차,중형,쏘나타,2.0 LPi,1999,146,9.1,12.1,2457,LPG,1410,세단,kor
